Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,Done or not(6)
EASY,Best Time to Buy and Sell Stock,100.0,0.5525959754111676,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",not done
EASY,Minimum Cost to Move Chips to The Same Position,89.7,0.7235395523557598,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy",not done
MEDIUM,Find The Original Array of Prefix Xor,89.7,0.8810500495257456,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation",not done
MEDIUM,Best Team With No Conflicts,89.7,0.5042606461247886,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting",not done
EASY,Find Subarrays With Equal Sum,87.5,0.6625844195401696,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table",not done
MEDIUM,Minimum Number of Lines to Cover Points,87.5,0.42784942488672006,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask",not done
EASY,The Employee That Worked on the Longest Task,87.5,0.5059108514906449,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array,done
HARD,Find the Longest Valid Obstacle Course at Each Position,87.5,0.6252322177156585,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree",not done
HARD,Count Subarrays With Fixed Bounds,75.5,0.6940834976032579,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue",not done
EASY,Two Sum,71.2,0.5577699298053613,https://leetcode.com/problems/two-sum,"Array, Hash Table",not done
MEDIUM,Merge Intervals,71.2,0.493952626052891,https://leetcode.com/problems/merge-intervals,"Array, Sorting",not done
MEDIUM,Longest Substring Without Repeating Characters,65.9,0.36936157039565953,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",not done
HARD,First Missing Positive,65.9,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table",not done
MEDIUM,Kth Largest Element in an Array,59.2,0.6797704154096826,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",not done
MEDIUM,3Sum,59.2,0.3707096729545715,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",not done
MEDIUM,Group Anagrams,59.2,0.7092883685173318,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",not done
MEDIUM,Make K-Subarray Sums Equal,59.2,0.3661727523960722,https://leetcode.com/problems/make-k-subarray-sums-equal,"Array, Math, Greedy, Sorting, Number Theory",not done
MEDIUM,Contiguous Array,59.2,0.49371586629309794,https://leetcode.com/problems/contiguous-array,"Array, Hash Table, Prefix Sum",not done
HARD,Minimum Number of Refueling Stops,59.2,0.405574587771098,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)",not done
MEDIUM,LRU Cache,59.2,0.45214715527990323,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",not done
MEDIUM,Copy List with Random Pointer,59.2,0.6053671430291659,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List",not done
EASY,Reverse String,49.7,0.7976438069258097,https://leetcode.com/problems/reverse-string,"Two Pointers, String",done
MEDIUM,Maximum Subarray,49.7,0.5209980940492812,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",not done
EASY,Remove Duplicates from Sorted Array,49.7,0.6035559664677481,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",done
HARD,Stamping The Sequence,49.7,0.6186645778728447,https://leetcode.com/problems/stamping-the-sequence,"String, Stack, Greedy, Queue",not done
MEDIUM,Generate Parentheses,49.7,0.7713290410170575,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",not done
EASY,Kth Missing Positive Number,49.7,0.6228373866165937,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search",done
MEDIUM,Coin Change II,49.7,0.622854660501933,https://leetcode.com/problems/coin-change-ii,"Array, Dynamic Programming",not done
MEDIUM,Min Stack,49.7,0.5644514426772719,https://leetcode.com/problems/min-stack,"Stack, Design",not done
EASY,Palindrome Linked List,49.7,0.5585942645417848,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion",not done
EASY,Valid Parentheses,49.7,0.42322842865981,https://leetcode.com/problems/valid-parentheses,"String, Stack",done
MEDIUM,Letter Combinations of a Phone Number,49.7,0.6385756795942178,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking",not done
MEDIUM,Word Search,49.7,0.4526701252584612,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",not done
MEDIUM,Minimum Operations to Reduce X to Zero,49.7,0.40063692467140904,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,"Array, Hash Table, Binary Search, Sliding Window, Prefix Sum",not done
MEDIUM,Number of Islands,49.7,0.6232001329897883,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",not done
HARD,Subarrays with K Different Integers,49.7,0.658657617557622,https://leetcode.com/problems/subarrays-with-k-different-integers,"Array, Hash Table, Sliding Window, Counting",not done
MEDIUM,Jump Game,49.7,0.3947922849262536,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",not done
MEDIUM,Steps to Make Array Non-decreasing,49.7,0.23152295390160016,https://leetcode.com/problems/steps-to-make-array-non-decreasing,"Array, Linked List, Stack, Monotonic Stack",not done
MEDIUM,Meeting Rooms II,49.7,0.5214181010083032,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",not done
HARD,Count of Range Sum,49.7,0.37051355107428807,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set",not done
MEDIUM,Rotate List,49.7,0.3994484650742562,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers",not done
MEDIUM,Sort Colors,49.7,0.6758311358294806,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",done
EASY,Next Greater Element I,49.7,0.7451249169659646,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack",done
HARD,Count of Integers,49.7,0.3705763284916699,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming",not done
MEDIUM,Decode Ways,49.7,0.36530968966816624,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",not done
MEDIUM,Subarray Sum Equals K,49.7,0.45476244915884195,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",not done
EASY,Count Binary Substrings,49.7,0.659166376012681,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String",not done
EASY,Subtree of Another Tree,49.7,0.49984880500038437,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",not done
MEDIUM,Reverse Words in a String,49.7,0.519133143499611,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String",done
MEDIUM,House Robber,49.7,0.5230497238120853,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",not done
MEDIUM,Longest Palindromic Substring,49.7,0.35846111810293435,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",not done
